sum_iterative_nif (Run Time Measurements),sum_iterative_nif (Memory Usage Measurements),sum_port (Run Time Measurements),sum_port (Memory Usage Measurements),sum_recursive2 (Run Time Measurements),sum_recursive2 (Memory Usage Measurements),sum_recursive (Run Time Measurements),sum_recursive (Memory Usage Measurements),sum_iterative (Run Time Measurements),sum_iterative (Memory Usage Measurements)
5013182,16,5627034,416,9859191,0,20083357,,25132286,56
4960414,16,6027835,416,7934662,0,16877856,,24603745,56
5041846,16,5611034,416,8334061,0,18334517,,24823738,56
4983297,16,5509283,416,7938068,0,18143249,,24817647,56
4962808,16,5712724,416,8084112,0,17153051,,25225982,56
4957739,16,5859660,416,7988443,0,16845715,,24657767,56
5039622,16,5937667,416,8227581,0,17209027,,25001702,56
4959612,16,5653103,416,8119970,0,17638251,,24744470,56
4962808,16,5736519,416,8174241,0,15878711,,26981676,56
5020015,16,5511196,416,8096505,0,14524682,,31311978,56
4982164,16,7674514,416,8209127,0,14911868,,25352279,56
4956476,16,5345827,416,8148483,0,18306686,,26707240,56
5007471,16,5445843,416,8185092,0,17290430,,25652833,56
5044731,16,5322492,416,8193468,0,17400596,,24899630,56
4975041,16,5220211,416,8141821,0,18529223,,26665052,56
4955365,16,5396422,416,8435892,0,18300173,,26286562,56
5064358,16,5576198,416,8209607,0,15765839,,24745711,56
4977416,16,5923630,416,7781405,0,16214111,,25161892,56
4959442,16,5370272,416,7872616,0,15761622,,25715791,56
5029283,16,5653203,416,7426890,0,16604693,,25627256,56
4972757,16,5586738,416,8452874,0,18233097,,25108423,56
4953781,16,5573353,416,8166537,0,14607888,,24588066,56
5103402,16,5656269,416,8230497,0,17332859,,25629790,56
5124762,16,5650457,416,8167789,0,13837793,,24895513,56
5056334,16,5565398,416,8349560,0,19962241,,25360255,56
4978337,16,5608049,416,7814506,0,15969281,,25904035,56
5125523,16,5533028,416,7257652,0,17133385,,24759327,56
5054791,16,5800089,416,8343879,0,17926762,,26141710,56
5000479,16,5581298,416,8181135,0,18626394,,24841181,56
5107009,16,5572802,416,8203366,0,17875157,,24628342,56
5046084,16,5735378,416,8191383,0,16737092,,24784024,56
4966545,16,5826467,416,8250614,0,17307020,,24709945,56
5026628,16,5694339,416,8205038,0,16501629,,25026499,56
5084707,16,5770153,416,7566061,0,17426905,,25365143,56
4970733,16,5576679,416,8203566,0,16887253,,27936266,56
4972646,16,5598941,416,7798626,0,17123286,,25476262,56
5109053,16,5627254,416,8185873,0,21987538,,25119824,56
4978368,16,5525052,416,8221019,0,19613476,,24648329,56
4998434,16,5492682,416,8144045,0,16151102,,29450937,56
5079497,16,5656128,416,8206080,0,17308102,,30157201,56
5012862,16,5657872,416,8414773,0,17755913,,31963058,56
4960043,16,5575067,416,8204238,0,16718837,,31499529,56
5051304,16,5423071,416,8164964,0,17388453,,32285673,56
5087803,16,5763951,416,8208896,0,18833003,,30370471,56
5043029,16,5652752,416,8194029,0,16289892,,29519155,56
4986602,16,5563996,416,7796332,0,17174993,,29972696,56
5052947,16,5540291,416,8456370,0,17638211,,31680709,56
4960003,16,5507249,416,7751699,0,16665336,,25863699,56
4952289,16,5599142,416,8193578,0,16497943,,25368660,56
5043189,16,5929341,416,7889928,0,19453406,,26650805,56
5077323,16,5780642,416,7894317,0,18101540,,27341811,56
4993205,16,5682498,416,8206291,0,17162900,,27474981,56
5065461,16,5611123,416,8441422,0,17350502,,27257433,56
5016038,16,5843630,416,8256656,0,17816977,,24827605,56
4970934,16,5657471,416,8167638,0,19942824,,25540813,56
5013793,16,5482803,416,8227471,0,19099973,,24634433,56
5087852,16,5750205,416,8188748,0,18689854,,25790802,56
4993736,16,5796892,416,8271504,0,16999413,,26545808,56
5012882,16,5595735,416,8178399,0,16362368,,29260991,56
5081671,16,5715820,416,8198817,0,16493315,,30710038,56
5094324,16,5496338,416,7340508,0,17176675,,28681574,56
4956547,16,5549758,416,8322309,0,14783958,,31273515,56
5067003,16,5817872,416,7574126,0,26187747,,31611830,56
5001911,16,5610542,416,8201151,0,146144482,,32784839,56
4983056,16,5889336,416,8172659,0,22674588,,32325459,56
5001160,16,5666117,416,8445680,0,21853067,,31668766,56
4961024,16,5780191,416,8171046,0,22902185,,33857442,56
4960965,16,5618508,416,8197465,0,23733603,,27029616,56
4959222,16,5610432,416,8168190,0,22617581,,27422212,56
4972295,16,5574125,416,8284377,0,19253501,,28437126,56
4961045,16,5811259,416,7523531,0,23047247,,28413431,56
4959081,16,5708417,416,7102862,0,19096026,,31229352,56
4989528,16,5605293,416,7152174,0,20195227,,30968943,56
4958951,16,5638926,416,7135402,0,18711645,,30518189,56
4973588,16,5811480,416,7110365,0,15529196,,34126245,56
4975161,16,5390921,416,7094256,0,13402207,,32096298,56
4963329,16,5633105,416,7100738,0,17682595,,30891689,56
4955223,16,5702014,416,7109223,0,16824786,,32851696,56
4956997,16,5743763,416,7156803,0,15755170,,30092881,56
4972106,16,5608069,416,7361167,0,15192695,,31143962,56
4964141,16,5730117,416,7089888,0,18221786,,32475961,56
4963199,16,5714088,416,7120766,0,13596110,,30789477,56
4971645,16,5663933,416,7128500,0,13259118,,28148654,56
5013613,16,5683510,416,7141214,0,15563681,,28929950,56
4964330,16,5635700,416,7102531,0,17006867,,27515617,56
4965573,16,5653784,416,7100618,0,16772328,,27465092,56
4990790,16,5669894,416,7150572,0,16169958,,31877457,56
4956627,16,5650147,416,7104565,0,16502080,,31283795,56
4959351,16,5868517,416,7090198,0,18864913,,31411964,56
5001000,16,6028678,416,7876142,0,17890775,,31861739,56
4959031,16,6039698,416,7859000,0,13013187,,32606375,56
4962357,16,5868747,416,7392235,0,18287549,,32263752,56
4980451,16,6381489,416,7423894,0,14648324,,31528404,56
4972878,16,6109068,416,7340778,0,16817663,,31220966,56
4966605,16,5624890,416,7115967,0,15926702,,30509733,56
4953210,16,5656079,416,7223899,0,18357972,,30624388,56
4992514,16,5706182,416,7129141,0,14575236,,30300240,56
4961926,16,5744534,416,7129151,0,12651779,,30518749,56
4960194,16,5609100,416,7138650,0,17950357,,30730056,56
4974350,16,5475089,416,7143688,0,20528071,,30673820,56
4957578,16,5653854,416,7851736,0,20113244,,33184900,56
4998104,16,5474417,416,7123761,0,14634437,,33248429,56
4999407,16,5679723,416,7098855,0,18808185,,47699412,
4961576,16,6552230,416,7195275,0,17515091,,58385445,
4960714,16,5696464,416,7126526,0,15660903,,39405998,
4965502,16,5551883,416,7102941,0,19063265,,41285233,
4970823,16,5748412,416,7137267,0,12629627,,39940390,
4968028,16,5996126,416,7316171,0,17458895,,39965728,
4958249,16,5890007,416,7099265,0,18708780,,39910244,
4969400,16,5869038,416,7119834,0,17725405,,39987148,
4965914,16,5512449,416,7431569,0,15296751,,39928258,
4955434,16,5483364,416,7146734,0,17871228,,39905034,
4975131,16,6329872,416,7147074,0,13050147,,39831767,
4969270,16,6178609,416,7530884,0,17230347,,39795248,
4966034,16,5448028,416,7537217,0,15549284,,39955910,
4957038,16,5427379,416,7828402,0,17143573,,39944839,
4978447,16,5666988,416,7414476,0,17520831,,39775571,
4964973,16,5548737,416,7509254,0,17002479,,39983722,
4958219,16,5774871,416,7432239,0,17169693,,39933628,
5035434,16,5624268,416,7137887,0,16344505,,39765983,
5040584,16,5499765,416,7164166,0,13507995,,39926464,
4976674,16,5913862,416,7300433,0,16413695,,40002927,
5017180,16,5618849,416,7134501,0,17108698,,39844982,
4992294,16,5674704,416,7125434,0,19229806,,39930151,
4958600,16,5702705,416,7115836,0,15458554,,39791130,
4950725,16,5677188,416,7354645,0,17174291,,39823481,
4984469,16,5857416,416,7373920,0,18537899,,39800969,
4959952,16,5665597,416,7260868,0,15966606,,39661747,
4954723,16,5721240,416,7285835,0,12610692,,39768127,
4967868,16,5711061,416,7126777,0,17655825,,39907579,
4967457,16,5757087,416,10366874,0,17863795,,39868656,
4960954,16,5489676,416,8468153,0,14637954,,39775862,
4983938,16,5588913,416,8438948,0,16410609,,38115828,
4993215,16,5782706,416,8456130,0,16334727,,26448175,
4978678,16,5612586,416,8682945,0,18620163,,26915130,
4959571,16,5678480,416,8453064,0,14153406,,28499042,
5006820,16,5894716,416,8436122,0,18314630,,32976870,
4960965,16,5613949,416,8447694,0,15993256,,22165462,
4963460,16,5785131,416,8456691,0,17656105,,29713259,
4969541,16,5676397,416,8488500,0,19444509,,22677012,
4966485,16,5411579,416,8437034,0,13464704,,21532966,
4960063,16,5955099,416,8467862,0,18534452,,21413372,
4976513,16,5684332,416,8439369,0,15826654,,22538633,
5034022,16,5806962,416,8461590,0,18670627,,26543934,
4956246,16,5577601,416,8423138,0,17346554,,22340470,
4952939,16,5699430,416,8420643,0,15042904,,23517088,
5108922,16,5420727,416,8605861,0,15230195,,21177790,
4975923,16,5837689,416,8444678,0,17284248,,20807876,
4957789,16,5491810,416,8413891,0,14241611,,20641234,
4972115,16,5625841,416,8472010,0,20126679,,20538922,
4960754,16,5923299,416,8367173,0,17515661,,20552858,
4961336,16,5458979,416,8191994,0,13188165,,20602351,
4977556,16,5710641,416,8173781,0,17037265,,20710164,
4972045,16,5739335,416,8611091,0,16877073,,20791466,
4963590,16,5559467,416,8182547,0,17065517,,20882175,
4981434,16,5588050,416,8201051,0,15763416,,20651463,
4972696,16,6086135,416,8174111,0,13580250,,20699603,
4954662,16,5635039,416,8199078,0,16381806,,20706416,
4985691,16,5636592,416,8337408,0,17875977,,20777860,
4992744,16,5935051,416,8220187,0,17793122,,22621768,
4960905,16,5553626,416,8175764,0,16104124,,20693111,
4955925,16,5912449,416,8191644,0,19917466,,21101627,
4974801,16,5663833,416,8179271,0,18447990,,20762310,
4983406,16,5598330,416,8217392,0,14941233,,20677231,
4962959,16,5489546,416,8177658,0,15624014,,20608803,
4971665,16,6443435,416,8198707,0,20499839,,20840057,
8663498,16,5394958,416,8173640,0,20362090,,21297625,
4986353,16,5477815,416,8190502,0,19281383,,21383406,
4963349,16,5800679,416,8172578,0,18548289,,21038729,
5005628,16,5659875,416,8187937,0,19046513,,20769474,
4982936,16,5820106,416,8173680,0,19091918,,21622484,
5044301,16,5523078,416,8641628,0,14449601,,21104022,
4988476,16,5579455,416,8183258,0,12631501,,20610477,
4977255,16,5801180,416,8237360,0,17402519,,20627948,
4959091,16,5659634,416,7055412,0,15908828,,20606179,
5007431,16,6401336,416,7082333,0,17375549,,21692385,
4997022,16,5412512,416,7052147,0,16770153,,20882877,
4958129,16,5514764,416,7056786,0,16924042,,21191296,
4996942,16,5798795,416,7078256,0,18883677,,20695456,
4993164,16,5642733,416,7059680,0,17201382,,21280543,
4953080,16,5703858,416,7103724,0,18484629,,20681199,
4960834,16,5551031,416,7051936,0,18624111,,24743187,
5008784,16,5655728,416,7097332,0,16542606,,23842517,
4974761,16,5694891,416,7058759,0,15465026,,22098918,
4960624,16,5457947,416,7060293,0,14527397,,20863501,
4987444,16,5809075,416,7314448,0,18112161,,22192292,
4980040,16,5497671,416,7207067,0,18437701,,20847029,
4967467,16,5582199,416,7264444,0,16896460,,20649319,
4967457,16,5498503,416,7210324,0,15912575,,20625815,
4997303,16,6003460,416,7238527,0,16539931,,20888247,
4982925,16,5434883,416,7200726,0,16564317,,20862809,
4963890,16,5925443,416,7206306,0,16296705,,20681920,
4990380,16,5646661,416,7225963,0,16678512,,20668946,
4975592,16,5865380,416,7204963,0,16831589,,23016127,
4956787,16,5859871,416,7235200,0,15022165,,22389523,
4997353,16,5454781,416,7208710,0,17624706,,20616316,
5016749,16,5593271,416,7258053,0,17491867,,20579128,
4960224,16,5682918,416,7217326,0,14554337,,20560633,
4959752,16,5858077,416,7230131,0,16543088,,21601785,
5008374,16,5609742,416,7424305,0,15536961,,21067022,
4972406,16,5765293,416,7231212,0,15219485,,20656272,
4977125,16,9446869,416,7283260,0,16288660,,20629161,
4987594,16,6041812,416,7206656,0,15828357,,20657875,
4985049,16,5568444,416,7232605,0,16209612,,21218225,
4956947,16,5597639,416,7209522,0,16227786,,22174610,
5018443,16,5800259,416,7230421,0,16474179,,20632778,
4965994,16,5608289,416,7202389,0,16633637,,20653056,
4962798,16,5560519,416,7206437,0,16872094,,20621527,
4965413,16,5731940,416,6991633,0,18147476,,20646163,
4988737,16,5638836,416,7205715,0,16024835,,25979967,
4988416,16,5688469,416,7224209,0,17620409,,20968428,
4971925,16,5739725,416,7200705,0,17386088,,20554271,
5035304,16,5555890,416,7217967,0,13643600,,20695987,
4975772,16,5911477,416,7418824,0,17236988,,20915198,
4956075,16,5587900,416,7212898,0,17944255,,20669737,
5001580,16,5668812,416,7462447,0,15893128,,20670218,
4988035,16,5910005,416,7208199,0,17259802,,20620966,
4968558,16,5610883,416,7235720,0,17339151,,20632448,
4955744,16,5501689,416,7207157,0,17093570,,20972074,
5015988,16,5790471,416,7217607,0,18146555,,24078450,
4965764,16,5520505,416,7205834,0,17009322,,28856562,
5001060,16,5575056,416,7212828,0,17488781,,23121014,
5173293,16,6323420,416,7202298,0,16609472,,28955238,
5093133,16,5919713,416,7204442,0,17531171,,30374849,
5015426,16,5260476,416,7210103,0,18090188,,21942244,
5096048,16,5575828,416,7204964,0,20627749,,22851550,
4997213,16,5592499,416,7211255,0,17951570,,24896876,
4988216,16,5655127,416,7400009,0,17352856,,31275649,
4998515,16,5529170,416,7293539,0,17950207,,22693323,
4970943,16,5626222,416,7273863,0,15070375,,21077672,
4985200,16,5516317,416,7231102,0,20135044,,21412520,
4958550,16,5545551,416,7214621,0,19521484,,21014935,
