sum_iterative_nif (Run Time Measurements),sum_iterative_nif (Memory Usage Measurements),sum_recursive2 (Run Time Measurements),sum_recursive2 (Memory Usage Measurements),sum_port (Run Time Measurements),sum_port (Memory Usage Measurements),sum_recursive (Run Time Measurements),sum_recursive (Memory Usage Measurements),sum_iterative (Run Time Measurements),sum_iterative (Memory Usage Measurements)
2843035,16,4404560,0,4687441,416,9033121,,12766159,
2835060,16,4383902,0,4744720,416,10978358,,19039162,
2834148,16,4368002,0,4772713,416,8761270,,16887576,
2831092,16,4363413,0,4749287,416,10070271,,15372158,
2852372,16,4366729,0,4816404,416,13243266,,13682692,
2837204,16,4377078,0,4649421,416,8898668,,13240620,
2842093,16,4363082,0,4572195,416,10602141,,13109765,
2838385,16,4356349,0,4533904,416,8511962,,13092021,
2835390,16,4367761,0,4781058,416,9008545,,12994428,
2836883,16,4481995,0,4777201,416,10693984,,13091090,
2863463,16,4368071,0,4457730,416,8657195,,13084968,
2840369,16,4362681,0,3982698,416,10179977,,13253125,
2847222,16,4424798,0,5781718,416,12795744,,12774315,
2836652,16,4428565,0,4846591,416,8071574,,12752834,
2833175,16,4355247,0,5468290,416,8226866,,12843504,
2832175,16,4358344,0,4816284,416,8483028,,12898328,
2861149,16,4384993,0,4466085,416,9556655,,12825791,
2835189,16,4353384,0,4625305,416,11330521,,12734329,
2832304,16,4361299,0,4476175,416,10916222,,15965954,
2850859,16,4361078,0,4616969,416,8945186,,17225892,
2835210,16,4355919,0,9843485,416,10515708,,13991863,
2829098,16,4351480,0,4375576,416,8708662,,13303760,
2856079,16,4357672,0,9725052,416,9196208,,12868371,
2832605,16,4361699,0,3884783,416,11674897,,13079889,
2832394,16,4363472,0,9475372,416,10521339,,12660129,
2829759,16,4356890,0,3907637,416,8321002,,13241622,
2835050,16,4362071,0,9084127,416,9038301,,12783831,
2838476,16,4368341,0,4167364,416,10337052,,12769645,
2858274,16,4365877,0,6044693,416,8813880,,12670889,
2832675,16,4364345,0,5158558,416,9066995,,12750219,
2838997,16,4349937,0,4653779,416,11189815,,12899770,
2836642,16,4357271,0,4689957,416,9602762,,12919607,
2838215,16,4347533,0,4755259,416,11737806,,12692701,
2843535,16,4350298,0,4645123,416,12185908,,12795734,
2859355,16,4362050,0,4733518,416,14113832,,13112470,
2829279,16,4366569,0,4568268,416,15269334,,12948482,
2835921,16,4351461,0,4554743,416,12469521,,12814470,
2837534,16,4352132,0,6375034,416,10371918,,12714953,
2838026,16,4370556,0,9408557,416,12870184,,12817966,
2849606,16,4364214,0,4831583,416,8175258,,12773953,
2849376,16,4350479,0,9898047,416,8327685,,13127017,
2836632,16,4350138,0,5168096,416,8542428,,12766550,
2843255,16,4360036,0,9819329,416,9464212,,14114173,
2847182,16,4359375,0,4993427,416,11134762,,14574729,
2842133,16,4349456,0,9590589,416,10151403,,15658607,
2869014,16,4362962,0,5089027,416,8307828,,13960144,
2877619,16,4355137,0,9621417,416,8066764,,14304541,
2888701,16,4359085,0,9017512,416,8603814,,13821182,
2875796,16,4355928,0,10333606,416,8821173,,13372709,
2829149,16,4383460,0,4663687,416,11203812,,13947749,
2848554,16,4362481,0,9187311,416,8921562,,13253545,
2866569,16,4371538,0,3967568,416,10328456,,13802106,
2838516,16,4388240,0,9043741,416,13042688,,12816143,
2833016,16,4355578,0,3925940,416,9499058,,13563448,
2837334,16,4370126,0,9323207,416,11587043,,13383950,
2833066,16,4757113,0,6309521,416,13549422,,13794803,
2844657,16,4356058,0,4716046,416,9832604,,13373410,
2897787,16,4359436,0,4541468,416,12637818,,13423174,
2857542,16,4376307,0,6784824,416,14617689,,13549131,
2834339,16,4358293,0,4677804,416,13228799,,13641414,
2833206,16,4357341,0,4363974,416,11221856,,14209732,
2836432,16,4519406,0,4482878,416,10042970,,13244268,
2835921,16,4433194,0,4794102,416,8487566,,13828456,
2955786,16,4544353,0,4821925,416,8049131,,13010408,
2879874,16,4503106,0,4752946,416,13377759,,13706827,
2841441,16,4435739,0,4821524,416,12183974,,13484830,
2838877,16,4703612,0,4555123,416,9970363,,13757463,
2829128,16,4584788,0,6276569,416,8202820,,13401763,
2843876,16,4663116,0,4947521,416,8414699,,13213840,
2876277,16,4565062,0,4829388,416,8304251,,16739508,
2829579,16,4451248,0,4496272,416,8291928,,13104124,
2837644,16,4367200,0,4257734,416,9352992,,13825150,
2836272,16,4359816,0,4276980,416,10923816,,15195847,
2832094,16,4388390,0,4429757,416,9334619,,13748927,
2829098,16,4396034,0,4631868,416,13479751,,13330880,
2855759,16,4466527,0,4602613,416,9989960,,16355998,
2831212,16,4364244,0,4464954,416,10821844,,13561944,
2845209,16,4400071,0,4475633,416,9748516,,14750228,
2833065,16,4364946,0,4466206,416,11213450,,21405921,
2847664,16,4357752,0,4473029,416,10366938,,12795615,
2840290,16,4363503,0,4283192,416,13106810,,13883018,
2850679,16,4416903,0,4260700,416,13055633,,14843584,
2840349,16,4365136,0,4407866,416,10923636,,13289513,
2838586,16,4371598,0,3901233,416,9906543,,13956066,
2829169,16,4376848,0,4544403,416,12056304,,12925588,
2841141,16,4415251,0,4224461,416,11970422,,13916602,
2880876,16,4357191,0,4512202,416,13023131,,13490391,
2898699,16,4349747,0,4229792,416,11627258,,13175429,
2882248,16,4364134,0,4308449,416,10858313,,12773413,
2905071,16,4399160,0,4275989,416,11766339,,12725172,
2871678,16,4345699,0,3598685,416,12670769,,12686228,
2829099,16,4356479,0,4255109,416,12156944,,13714753,
2853053,16,4376708,0,3742776,416,12385724,,17532269,
2833356,16,4378731,0,4216647,416,10196499,,13381205,
2888139,16,4369644,0,4484239,416,11839536,,12881265,
2914148,16,4368442,0,4103474,416,10252553,,12668235,
2877329,16,4395173,0,9013926,416,8186961,,12641455,
2854516,16,4353664,0,4965815,416,8056845,,12688283,
2915961,16,4346510,0,8721285,416,8564551,,12642075,
2862270,16,4346150,0,5166673,416,8890102,,12638148,
2849667,16,4381397,0,10225623,416,10539493,,12667404,
2948182,16,4369404,0,3724992,416,11111869,,12674156,
2907676,16,4350528,0,9572846,416,13048550,,12636605,
2846922,16,4365747,0,3759477,416,8314630,,12637527,
2879984,16,4391877,0,9052647,416,8817175,,12651484,
2829098,16,4352342,0,3923386,416,10235701,,12646384,
2835239,16,4358444,0,9293782,416,8267202,,12654800,
2832535,16,4366027,0,4104657,416,8056004,,12638188,
2838677,16,4402075,0,9189595,416,8329829,,12653146,
2835079,16,4363202,0,3900883,416,8342483,,12658246,
2835560,16,4378331,0,6565502,416,9367720,,12645392,
2841010,16,4362220,0,4209283,416,10930990,,16338655,
2840349,16,4353194,0,4378190,416,9782079,,13891515,
2834870,16,4403428,0,4581052,416,11883700,,13088435,
2842083,16,4415160,0,4623451,416,11682051,,13197370,
2835320,16,4379022,0,4347543,416,11934656,,12817115,
2829088,16,4416803,0,3766310,416,11382568,,12668214,
2996534,16,4498597,0,4897477,416,10456918,,12996422,
2839307,16,4700636,0,4420019,416,8270738,,12923745,
2829098,16,4686701,0,4432092,416,8460885,,12669387,
2847703,16,4632749,0,4377620,416,9510589,,12792609,
2835952,16,4515819,0,4530086,416,11292047,,12808498,
2830060,16,4393319,0,6404540,416,10539102,,12776458,
2841402,16,4419528,0,4797189,416,8768915,,12666912,
2835250,16,4412516,0,5032921,416,9483948,,12788701,
2834609,16,4395153,0,4790976,416,11955505,,12898167,
2841401,16,4365216,0,4529665,416,11846610,,12808329,
2835219,16,4350789,0,4022211,416,11228118,,12638198,
2836813,16,4356460,0,3823237,416,10358703,,12778853,
2838276,16,4363482,0,9544593,416,9905611,,12779884,
2835180,16,4369995,0,4941258,416,10952940,,12802397,
2833937,16,4353474,0,5556977,416,11194575,,13905581,
2837023,16,4347532,0,8034714,416,11497724,,12747724,
2841392,16,4358023,0,3850989,416,8040225,,12941388,
2834088,16,4341061,0,8117160,416,12994187,,12907385,
2835851,16,4362050,0,4571543,416,9060743,,12905501,
2829088,16,4355568,0,3852362,416,10492676,,12703411,
2835771,16,4352853,0,5078116,416,10805503,,12831522,
2841982,16,4370025,0,9291577,416,12033041,,12818247,
2840720,16,4341191,0,5012252,416,12400141,,13121718,
2833026,16,4346030,0,8702770,416,8276288,,12889681,
2839308,16,4354076,0,4223820,416,8035976,,12690507,
2839257,16,4352062,0,8645352,416,8298260,,13955255,
2833015,16,4342052,0,4017672,416,8040595,,12664568,
2847493,16,4353254,0,8204203,416,13135804,,12686739,
2835641,16,4354106,0,3646505,416,9736213,,12664898,
2832515,16,4353103,0,8217568,416,12193362,,12657996,
2839027,16,4345679,0,4119634,416,8355397,,12686580,
2834609,16,4341311,0,8782470,416,8048431,,12687952,
2832946,16,4346631,0,4142508,416,8324849,,12677603,
2832846,16,4345709,0,8499939,416,8048861,,17466024,
2834950,16,4339718,0,3996453,416,10389130,,17110636,
2839027,16,4343405,0,8129432,416,11377699,,14999618,
2842594,16,4345769,0,3751503,416,16333434,,12938883,
2830421,16,4348134,0,8085400,416,12633439,,13231995,
2839267,16,4340029,0,8489349,416,13371076,,12950715,
2842203,16,4360698,0,5311826,416,12999467,,12724861,
2829098,16,4348644,0,8308068,416,9862521,,12711306,
2847213,16,4352482,0,3714343,416,13668525,,12714382,
2839869,16,4355779,0,7820381,416,9805633,,12699955,
2838597,16,4365576,0,3994710,416,12975372,,12669537,
2825883,16,4345719,0,8287941,416,8157736,,12849706,
2835481,16,4354396,0,4129063,416,13346170,,12678083,
2833166,16,4351831,0,8336933,416,9540234,,12779443,
2841351,16,4358283,0,3920861,416,11571052,,12641294,
2832374,16,4349727,0,7960254,416,12246792,,12685287,
2833486,16,4343185,0,3781469,416,11368492,,12745821,
2835310,16,4345779,0,8140984,416,10900241,,13406903,
2835610,16,4356900,0,3939535,416,9722667,,16970773,
2842644,16,4347873,0,8095379,416,12276148,,13890002,
2849437,16,4359225,0,8736754,416,11681079,,13750951,
2879503,16,4352061,0,9429647,416,12274555,,12844677,
2855468,16,4346110,0,4051526,,12284844,,12678113,
2855127,16,4350639,0,9783582,,12336651,,12676621,
2832304,16,4345910,0,4189556,,12760579,,12684175,
2840801,16,4363032,0,9791928,,11270057,,12718599,
2837634,16,4344276,0,3809922,,13428874,,12683373,
2837684,16,4344668,0,9280356,,9955034,,12771088,
2832305,16,4346060,0,3905351,,11866388,,12862550,
2847403,16,4352221,0,9246803,,12922613,,12662104,
2835891,16,4344287,0,4060213,,8131576,,12819549,
2829088,16,4342423,0,9367009,,8438093,,12634652,
2847493,16,4357391,0,4259537,,10881035,,12632297,
2835841,16,4348465,0,3963510,,12437501,,12700466,
2838647,16,4343045,0,9476866,,8261331,,12764436,
2835731,16,4350859,0,10671210,,8064179,,12678915,
2834579,16,4351971,0,4790936,,8216817,,12630364,
2836221,16,4809422,0,9710303,,8049512,,12669788,
2829098,16,5042269,0,3866508,,8387447,,12657144,
2835440,16,5072586,0,9359775,,8520478,,12706446,
2923225,16,4764918,0,8065743,,9866217,,12672103,
2836071,16,4574399,0,4574950,,11997084,,12671370,
2832304,16,4681901,0,9402906,,11941589,,12684606,
2842323,16,4808409,0,10027601,,12420319,,12690226,
2841762,16,4722909,0,10603503,,12755238,,12718339,
2839297,16,5164017,0,10552057,,8061685,,12718049,
2835891,16,4731485,0,10633760,,8354545,,12709512,
2840018,16,4826613,0,10537449,,8485121,,12701638,
2829700,16,5044092,0,10721946,,9667715,,12702499,
2825883,16,4771740,0,10658887,,11520297,,12711156,
2836562,16,4650974,0,9504067,,10983288,,12720954,
2830481,16,4828828,0,10197390,,13548740,,12721184,
2841371,16,4827235,0,10113593,,13292258,,12696428,
2846832,16,4641625,0,4756432,,8053079,,12801986,
2834649,16,4698643,0,9538532,,8307307,,12893488,
2830421,16,5049281,0,4016681,,8322044,,12697480,
2835721,16,4871989,0,9795274,,9225122,,12699884,
2836132,16,4763545,0,3932382,,10788381,,12703681,
2842674,16,4899280,0,8999768,,8968299,,12707539,
2835660,16,4929457,0,4180018,,10698111,,12704532,
2838446,16,4792760,0,9120786,,8405341,,12691378,
2832635,16,4677573,0,10227115,,9553048,,12730723,
2830420,16,4666252,0,10529544,,11201468,,12678164,
2846882,16,4695718,0,10326923,,10417384,,12739769,
3657205,16,4648889,0,10737485,,8180818,,12686739,
4164590,16,4491283,0,10902094,,8099045,,12692431,
4358644,16,4471797,0,10672974,,8379322,,12741362,
4125666,16,4671542,0,10766860,,8862240,,12744007,
3059131,16,4480372,0,10871548,,10559890,,12707429,
2979201,16,4441128,0,10736964,,8054813,,12697620,
2951329,16,4375576,0,10891235,,13209993,,12690186,
2900272,16,4378010,0,10944665,,10418786,,12716736,
2888751,16,4375535,0,10747865,,8022021,,,
2888841,16,4419327,0,10412063,,8281608,,,
2888059,16,4443163,0,10724400,,8235652,,,
2835681,16,4410982,0,10868070,,13400561,,,
2836062,16,4356911,0,10557708,,14434605,,,
2835310,16,4438845,0,10978719,,11204203,,,
2840279,16,4644882,0,10783111,,9863542,,,
2844146,16,4441850,0,4826384,,12160871,,,
2833426,16,4467830,0,9302367,,10400732,,,
2825892,16,4457519,0,9665891,,13153477,,,
2835831,16,4433294,0,11014166,,9982977,,,
2842304,16,4434817,0,10787859,,12190397,,,
2839097,16,4450126,0,10980993,,12883068,,,
2835721,16,4439115,0,10855197,,8332944,,,
2841182,16,4388880,0,8243847,,8426671,,,
2842283,16,4371238,0,9760118,,9780296,,,
2835941,16,4365336,0,4685468,,12038110,,,
2840650,16,4452540,0,4091502,,11561394,,,
2835681,16,4413998,0,9358312,,11739950,,,
2841291,16,4366128,0,4916683,,10923856,,,
2846821,16,4360387,0,9255098,,9323957,,,
2836893,16,4353434,0,4877329,,11998887,,,
2838626,16,4357011,0,9694344,,11105778,,,
2835110,16,4365517,0,4142608,,10039974,,,
2834188,16,4357822,0,9149530,,9271520,,,
2833116,16,4369063,0,3807086,,10851620,,,
2833025,16,4365186,0,8902986,,15679185,,,
2835490,16,4444284,0,8557958,,12074067,,,
2838245,16,4361859,0,4465735,,13100077,,,
2835721,16,4382629,0,9431651,,8521860,,,
2829099,16,4365657,0,9864314,,9624143,,,
2841993,16,4368863,0,10645312,,11488376,,,
2841902,16,4354436,0,10488738,,10982165,,,
2835239,16,4357572,0,10429006,,9997625,,,
2834569,16,4363783,0,10703521,,12309691,,,
2843045,16,4361108,0,4520969,,8063850,,,
2834319,16,4354447,0,8704383,,8260448,,,
2847913,16,4357081,0,9807758,,8077905,,,
2834218,16,4363963,0,10550984,,13135162,,,
2842483,16,4354145,0,10498676,,9396343,,,
2839057,16,4360769,0,10407555,,11419868,,,
2830171,16,4357261,0,10561625,,11303639,,,
2841853,16,4361389,0,10447560,,9639892,,,
2835119,16,4358314,0,10507874,,11889701,,,
2835350,16,4343525,0,10516941,,12093925,,,
2840230,16,4350478,0,4720314,,11697180,,,
2844908,16,4369023,0,8842573,,11539824,,,
2835170,16,4352442,0,4699655,,11541807,,,
2833186,16,4358674,0,8406243,,10427082,,,
2835460,16,4356199,0,4062067,,8094215,,,
2833026,16,4358242,0,7953231,,11057737,,,
2834518,16,4352182,0,3866779,,12560282,,,
2833938,16,4345880,0,8235331,,8044093,,,
2837354,16,4353994,0,9803379,,9098153,,,
2829099,16,4382478,0,10524835,,9309621,,,
2836452,16,4350158,0,10551085,,11432201,,,
2840149,16,4344077,0,10400972,,11320340,,,
2834329,16,4366258,0,4612781,,9998175,,,
2846532,16,4678485,0,5378421,,12078457,,,
2835099,16,4355338,0,4725193,,12529263,,,
2831373,16,4457990,0,8507564,,8051877,,,
2829099,16,4368903,0,9126988,,8158748,,,
2830591,16,4353825,0,4883170,,8044823,,,
2839869,16,4366088,0,8873462,,8101210,,,
2839067,16,4372721,0,5116808,,8076382,,,
2836392,16,4358434,0,8925579,,8064150,,,
3029024,16,4417434,0,4269456,,8404129,,,
2834138,16,4350929,0,5510779,,8695577,,,
2833016,16,4363042,0,10200045,,9787349,,,
